flower_id,total,pollinator,non_pollinator
flower_1,2,1,1
flower_10,0,0,0
flower_11,1,1,0
flower_2,0,0,0
flower_3,5,5,0
flower_4,0,0,0
flower_5,0,0,0
flower_6,6,4,2
flower_7,2,2,0
flower_8,0,0,0
flower_9,0,0,0
