flower_id,total,pollinator,non_pollinator
flower_1,15,15,0
flower_10,0,0,0
flower_11,14,0,14
flower_12,0,0,0
flower_13,0,0,0
flower_14,1,0,1
flower_15,0,0,0
flower_16,13,3,10
flower_17,0,0,0
flower_18,3,0,3
flower_19,0,0,0
flower_2,4,4,0
flower_3,1,1,0
flower_4,48,33,15
flower_5,0,0,0
flower_6,0,0,0
flower_7,0,0,0
flower_8,0,0,0
flower_9,4,4,0
