epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,46867,1.154,0.6481,0.01078,0.7083,0.62199,0.66697,0.46415,1.54566,1.3188,0.01546,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
32,48356.2,1.12769,0.61465,0.01042,0.74087,0.6107,0.67159,0.47167,1.53406,1.32602,0.01527,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
33,49847.6,1.10382,0.58522,0.01009,0.72318,0.61469,0.67179,0.47142,1.54863,1.31237,0.01531,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
34,51339.2,1.0948,0.58005,0.00994,0.69799,0.6298,0.66175,0.46843,1.54051,1.34935,0.01519,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
35,52830.9,1.07304,0.55023,0.00971,0.7169,0.62493,0.66793,0.4724,1.54238,1.33866,0.0152,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
36,54319.2,1.04589,0.51867,0.00926,0.71222,0.63749,0.67132,0.47556,1.54259,1.33766,0.01526,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
37,55806.1,1.02598,0.49132,0.00887,0.71329,0.63677,0.66464,0.47171,1.5502,1.3397,0.01537,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
38,57300.7,1.00998,0.46545,0.00875,0.73371,0.62342,0.66863,0.47627,1.54993,1.33354,0.01546,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
39,58789.4,0.98535,0.44942,0.00846,0.72429,0.63972,0.668,0.47564,1.54968,1.35347,0.01542,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
40,60285.3,0.974,0.43946,0.00832,0.70607,0.64582,0.66437,0.47246,1.54345,1.37237,0.01533,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
