epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,14250.6,0.95042,0.57804,0.01261,0.76084,0.70699,0.76785,0.4709,1.4868,1.13717,0.03643,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,14692.8,0.95089,0.58177,0.01271,0.79799,0.68997,0.78435,0.45058,1.56074,1.06892,0.03914,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,15135,0.9421,0.56857,0.01253,0.78011,0.68151,0.76286,0.48407,1.42253,1.05203,0.03205,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,15577.4,0.92949,0.56268,0.01226,0.80392,0.67295,0.76431,0.48327,1.43831,1.05864,0.03276,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,16019.6,0.92105,0.55505,0.01217,0.74059,0.70456,0.75358,0.49129,1.34421,1.18003,0.02959,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,16461.6,0.92384,0.54087,0.0123,0.8082,0.68024,0.76131,0.48799,1.45541,1.12541,0.03366,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,16903.7,0.91442,0.5431,0.012,0.7934,0.70504,0.76338,0.44514,1.62311,1.10276,0.04286,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,17346,0.90572,0.54009,0.01199,0.7968,0.7056,0.78144,0.45502,1.60729,0.94435,0.04049,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,17788.7,0.90575,0.53302,0.01178,0.73163,0.71854,0.74109,0.44758,1.69487,1.03349,0.04483,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,18230.8,0.89782,0.52563,0.01203,0.75986,0.72518,0.75632,0.47676,1.48255,1.13996,0.03453,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,18672.9,0.88643,0.51936,0.01159,0.77036,0.70274,0.76758,0.4835,1.42115,1.22557,0.03321,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,19115.3,0.87684,0.51778,0.01159,0.80468,0.69544,0.75808,0.47253,1.50494,1.07186,0.03666,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,19557.9,0.87947,0.50952,0.01158,0.81549,0.70395,0.77288,0.46686,1.56383,0.97963,0.037,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,20000.1,0.86969,0.50157,0.01146,0.80324,0.70395,0.77808,0.49218,1.40603,1.00902,0.03101,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,20443,0.86321,0.50336,0.01122,0.80653,0.71185,0.77625,0.48544,1.44314,0.97678,0.03183,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,20885.1,0.84659,0.48742,0.01109,0.82835,0.71285,0.77817,0.47774,1.51447,1.0812,0.03571,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,21327.6,0.84725,0.49085,0.01099,0.81877,0.73131,0.78996,0.47544,1.55209,1.06272,0.03598,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,21769.9,0.84324,0.48613,0.01099,0.79451,0.73009,0.78234,0.50249,1.46064,0.88246,0.03319,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,22212.7,0.82564,0.46798,0.01076,0.80533,0.71125,0.78218,0.50396,1.42415,0.99573,0.03205,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,22655,0.82623,0.46753,0.01075,0.82499,0.71069,0.7855,0.49829,1.481,0.97107,0.0344,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
